valid_at,new_24,basedepth,open_trails,open_lifts,open_percent,mon_day,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2011-11-10 06:14:00,0,15,0,0,0,11/10,0,,,,,,
2011-11-12 05:56:00,0,18,0,0,0,11/12,0,,,,,,
2011-11-13 05:49:00,1,18,0,0,0,11/13,1,,0.0,,,,
2011-11-14 05:52:00,3,18,0,0,0,11/14,4,,1.0,1.0,,,
2011-11-15 05:54:00,0,18,0,0,0,11/15,4,,4.0,4.0,4.0,,
2011-11-16 05:53:00,1,18,0,0,0,11/16,5,,3.0,4.0,4.0,4.0,
2011-11-17 05:59:00,1,18,0,0,0,11/17,6,,1.0,4.0,5.0,5.0,5.0
2011-11-18 05:55:00,0,18,0,0,0,11/18,6,6.0,2.0,2.0,5.0,6.0,6.0
2011-11-19 06:04:00,1,18,0,0,0,11/19,7,6.0,1.0,2.0,2.0,5.0,6.0
2011-11-20 06:04:00,4,18,0,0,0,11/20,11,7.0,1.0,2.0,3.0,3.0,6.0
2011-11-21 05:50:00,0,18,0,0,0,11/21,11,10.0,5.0,5.0,6.0,7.0,7.0
2011-11-22 05:58:00,2,18,0,0,0,11/22,13,7.0,4.0,5.0,5.0,6.0,7.0
2011-11-23 05:56:00,0,18,0,0,0,11/23,13,9.0,2.0,6.0,7.0,7.0,8.0
2011-11-24 05:46:00,0,18,0,0,0,11/24,13,8.0,2.0,2.0,6.0,7.0,7.0
2011-11-25 05:54:00,0,18,0,0,0,11/25,13,7.0,0.0,2.0,2.0,6.0,7.0
2011-11-26 05:49:00,3,18,0,0,0,11/26,16,7.0,0.0,0.0,2.0,2.0,6.0
2011-11-27 05:51:00,0,18,0,0,0,11/27,16,9.0,3.0,3.0,3.0,5.0,5.0
2011-11-28 05:43:00,0,18,0,0,0,11/28,16,5.0,3.0,3.0,3.0,3.0,5.0
2011-11-29 05:49:00,0,18,0,0,0,11/29,16,5.0,0.0,3.0,3.0,3.0,3.0
2011-11-30 05:52:00,0,18,0,0,0,11/30,16,3.0,0.0,0.0,3.0,3.0,3.0
2011-12-01 05:49:00,0,18,0,0,0,12/1,16,3.0,0.0,0.0,0.0,3.0,3.0
2011-12-02 05:50:00,0,18,0,0,0,12/2,16,3.0,0.0,0.0,0.0,0.0,3.0
